Ano,Disciplina,Bimestre,Conteúdo/Tema,Habilidades/Objetivos
Não especificado,Geral/Múltiplas,2º Bimestre,000000,"Identificar a distribuição de água no planeta, distinguindo água salgada, doce e congelada.
Reconhecer os três estados físicos da água: sólido, líquido e gasoso.
Investigar através de experimentos os processos de mudança de estado físico da água.
Analisar como condições ambientais (pressão, calor, vento) influenciam o estado físico da água.
Compreender o ciclo da água."
Não especificado,Geral/Múltiplas,2º Bimestre,"Livro Teláris - 6º ano
Unidade 1 - Capítulo 4
A atmosfera e a biosfera (p. 83 a 90)
Biosfera;
Importância da biodiversidade.","Definir o conceito de Biosfera como o conjunto de todos os ecossistemas da Terra que suportam vida.
Identificar os componentes bióticos (seres vivos) e abióticos (água, solo, ar, luz, clima etc.) presentes em um ecossistema e explicar sua interação para manter a vida.
Diferenciar os papéis dos organismos na cadeia alimentar, classificando-os em produtores, consumidores e decompositores.
Descrever como a biodiversidade contribui para o equilíbrio dos ecossistemas."
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,"Livro Teláris - 6º ano
Unidade 2 - Capítulo 6
A célula (p. 110 a 118)
Conhecendo a célula;
O microscópio;
A teoria celular;
Da célula ao organismo;
Procariontes e eucariontes.","Identificar as principais estruturas de uma célula.
Reconhecer diferenças visuais básicas entre células animais, vegetais e bacterianas em imagens ampliadas ou representações.
Identificar as partes do microscópio óptico e explicar a função de cada componente.
Explicar os princípios da Teoria Celular.
Descrever o papel de cada nível de organização biológica na formação dos seres vivos.
Diferenciar células procariontes e eucariontes quanto à estrutura interna, presença de núcleo, organelas e organização do material genético.
Comparar exemplos de seres procarióticos e eucarióticos, destacando características que os distinguem."
Não especificado,Geral/Múltiplas,3º Bimestre,"Livro Teláris - 6º ano
Unidade 2 - Capítulo 9 
Interação do organismo com o ambiente (p. 156 a 169)
Sistema sensorial;
Visão;
Audição e equilíbrio;
Olfato, gustação e tato.","Analisar como os receptores sensoriais captam informações e as enviam ao sistema nervoso para interpretação.
Identificar as estruturas do olho.
Comparar diferentes condições que afetam a visão, justificando suas causas com base na formação da imagem.
Reconhecer as partes do ouvido externo, médio e interno, descrevendo o caminho do som até o cérebro.
Relacionar o olfato com a gustação, explicando como ambos contribuem para a percepção de sabores.
Identificar as papilas gustativas e descrever como seus receptores detectam diferentes sabores.
Analisar como o tato contribui para a percepção do ambiente e para a proteção do organismo."
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Livro Teláris - 6º ano
Unidade 3 - Capítulo 12 
Tratamento de água e esgoto (p. 216 a 225)
Tratamento da água;
Tratamento do esgoto.","Identificar as etapas do tratamento da água.
Analisar o percurso da água desde a captação até sua distribuição, reconhecendo os controles de qualidade aplicados.
Identificar as etapas do tratamento de esgoto (tratamento preliminar, primário, secundário e terciário, quando houver).
Descrever como processos físicos, químicos e biológicos atuam na remoção de poluentes e matéria orgânica.
Analisar o papel dos microrganismos no tratamento biológico, reconhecendo sua importância para a redução de carga orgânica."
Não especificado,Geral/Múltiplas,4º Bimestre,"Livro Teláris - 6º ano
Unidade 3 - Capítulo 12 
Tratamento da água e esgoto (p. 216 a 225)
Tratamento da água;
Tratamento do esgoto.
Unidade 3 - Capítulo 13
Materiais sintéticos e os resíduos sólidos (p. 230 a 237; 240 e 241)
Os materiais sintéticos;
Resíduos sólidos.","Identificar materiais sintéticos presentes no cotidiano.
Descrever como materiais sintéticos são produzidos a partir de substâncias derivadas do petróleo.
Comparar materiais naturais e sintéticos, evidenciando vantagens e limitações de cada um.
Identificar os principais tipos de resíduos sólidos.
Classificar resíduos sólidos a partir de critérios como composição, origem e possibilidade de reciclagem.
Analisar os impactos ambientais e sociais do descarte inadequado de resíduos, com foco na poluição do solo, da água e do ar."
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Nuevo Reporteros 1 – Unidad 0 (Nuestro Verano) y Unidad 1 (Yo soy Laura, ¿y tú?)

El alfabeto;
El presente de indicativo de hablar, llamarse, ser, tener;
Los pronombres personales de sujeto;
Los pronombres reflexivos;
Los interrogativos;
Léxico: los datos personales, los países, las nacionalidades y las lenguas, los números del 1 al 20.","Aplicar las estructuras en español para saludar, presentarse, despedirse
Conocer el alfabeto español y diferenciarlo con la pronunciación en portugués;
Identificar saludos y despedidas;
Utilizar los verbos llamarse, ser, vivir y tener en presente de indicativo para presentaciones;
Formular preguntas con los interrogativos (cómo, cuándo, dónde, cuántos);
Identificar cómo se dicen (y se escriben) los números del 1 al 20 para mencionar la edad;
Utilizar el vocabulario referente a las nacionalidades."
Não especificado,Geral/Múltiplas,1º Bimestre,"Nuevo Reporteros 1 – Unidad 0 (Nuestro Verano) y Unidad 1 (Yo soy Laura, ¿y tú?)

El alfabeto;
El presente de indicativo de hablar, llamarse, ser, tener;
Los pronombres personales de sujeto;
Los pronombres reflexivos;
Los interrogativos;
Los artículos determinados e indeterminados;
La contracción del artículo;
El género y el número de los nombres y los adjetivos;
Léxico: los datos personales, los meses, las estaciones del año, los países, las nacionalidades y las lenguas, los números del 0 al 31.","Describir fechas importantes
Relacionar los meses y las estaciones del año con las fechas importantes;
Emplear los números para describir las fechas importantes;
Utilizar la contracción del artículo para describir las fechas importantes.

Elaborar una presentación sobre un grupo de personas (nacionalidades)
Concordar el género y el número de los nombres, adjetivos y artículos a las nacionalidades.

Producir una presentación personal escrita en español."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Nuevo Reporteros 1 – Unidad 2 (Mis gustos)

El presente de indicativo: verbos regulares (-ar, -er, ir);
El verbo gustar + verbo/nombre;
El verbo encantar;
Puedo / no puedo;
Léxico: actividades habituales, los alimentos, los platos y el menú semanal.","Identificar diferentes actividades cotidianas
Emplear los verbos en presente de indicativo para describir actividades del día a día.

Expresar gustos y preferencias
Utilizar correctamente los verbos gustar y encantar para expresar intereses.

Identificar un plato a partir de los ingredientes que lleva
Reconocer el uso de las expresiones puedo y no puedo para explicitar restricciones alimentarias."
Não especificado,Geral/Múltiplas,2º Bimestre,"Nuevo Reporteros 1 – Unidad 2 (Mis gustos)

El presente de indicativo: verbos regulares (-ar, -er, ir);
El verbo gustar + verbo/nombre;
El verbo encantar;
Puedo / no puedo;
También / tampoco;
Léxico: actividades habituales, los alimentos, los platos y el menú semanal, los animales, la descripción de carácter y la personalidad.","Describir actividades cotidianas
Emplear los verbos en presente de indicativo para describir actividades del día a día.

Expresar gustos y preferencias
Utilizar correctamente los verbos gustar y encantar para expresar intereses;
Utilizar las expresiones también y tampoco para expresar acuerdo o desacuerdo;

Describir diferentes platos
Utilizar el presente de indicativo para describir un plato;
Manejar las expresiones puedo y no puedo para explicitar restricciones alimentarias.

     Describir actividades realizadas por diferentes animales
Utilizar el presente de indicativo para describir acciones y comportamientos que puede tener determinado animal;
Manejar los verbos gustar y encantar para mencionar intereses de determinados animales."
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
