Ano,Disciplina,Bimestre,Conteúdo/Tema,Habilidades/Objetivos
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Lift Fundamentals - Unit 7 – Nature
Reading comprehension skills;
Language Conventions: Compound and Complex Sentences;
Vocabulary related to nature.","Reading Comprehension (EF06LI08):
Demonstrate understanding of the main ideas, details, inferences, and perspectives in texts about nature and the environment.
Vocabulary (EF06LI16):
Develop vocabulary related to nature accurately and in context.
Language Conventions:
Correctly identify, form, and apply compound and complex sentences to describe natural phenomena and explain relationships in the natural world, showing how ideas connect and depend on one another."
Não especificado,Geral/Múltiplas,4º Bimestre,"Lift Fundamentals - Unit 7 - Nature 
Reading and Listening Comprehension skills;
Language Conventions: Compound and complex sentences;

Lift Fundamentals - Unit 8 – Designing Our World
Reading and Listening Comprehension skills;
Vocabulary related to architecture, urban planning, design, and the built environment;
Language Conventions: Comparative and Supelartive Adjectives;
Writing: Argumentative Essay","Reading and Listening Comprehension (EF06LI08 e EF06LI04):
Demonstrate understanding of the main ideas, details, inferences, and perspectives in texts about how humans design and shape the spaces we live in, including concepts related to architecture, urban planning, and the built environment.
Vocabulary (EF06LI16):
Develop vocabulary related to architecture, urban planning, design, patterns, style and the built environment.
Language Conventions:
Correctly identify, form, and apply compound and complex sentences, as well as comparative and superlative adjectives, to describe architectural features and compare how different spaces are designed and organized in the built environment.
Written Production (EF06LI15): 
Write an argumentative essay that presents a clear claim supported by logical reasoning and relevant evidence, using cohesive devices and precise language to persuade the reader and establish a well-structured and coherent point of view."
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Livro Teláris - 7º ano
Unidade 1 - Capítulo 2
A composição da atmosfera e suas alterações 
(p. 34 a 42)
A composição do ar;
Gás oxigênio e combustão;
Ciclos biogeoquímicos.","Compreender a definição de ar. 
Analisar os gases que compõe a atmosfera e suas funções.
Conectar a porcentagem de cada gás da atmosfera às necessidades do corpo humano."
Não especificado,Geral/Múltiplas,1º Bimestre,"Livro Teláris - 7º ano
Unidade 1 - Capítulo 2
A composição da atmosfera e suas alterações
(p. 43 a 52)
A destruição da camada de ozônio;
O efeito estufa e o aquecimento global.
Poluição do ar.","Sintetizar as principais ações humanas que interferem na produção de gases do efeito estufa. 
Julgar as ações humanas relacionadas à poluição do ar. 
Sintetizar os tipos de poluição. 
Avaliar soluções para o problema da poluição do ar, solo e água."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Livro Teláris - 7º ano
Unidade 2 - Capítulo 3 
Ecossistemas terrestres (p. 76 a 91)
O clima e os biomas.","Analisar a relação entre vegetação e tipo de clima nos diferentes biomas. 
Avaliar a ação destrutiva humana na Mata Atlântica."
Não especificado,Geral/Múltiplas,2º Bimestre,"Livro Teláris - 7º ano
Unidade 2 - Capítulo 4  
O ambiente aquático e a região costeira 
(p. 98 a 111)
A zona costeira;
A vida aquática;
Ameaças aos ambientes aquáticos e costeiros.",
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,"Livro Teláris - 7º ano
Unidade 2 - Capítulo 3
Classificação dos seres vivos (p. 62 a 67)
Os grupos de seres vivos;
Conceito de espécie;
Reinos: Monera, Protista, Fungi e Plantae.",
Não especificado,Geral/Múltiplas,3º Bimestre,"Livro Teláris - 7º ano
Unidade 2 - Capítulo 3
Classificação dos seres vivos (p 68 a 75)
Reino Animalia.",
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Livro Teláris - 7º ano
Unidade 2 - Capítulo 5 
Condições de saúde - Alimentação saudável (p. 124 a 133)",
Não especificado,Geral/Múltiplas,4º Bimestre,"Livro Teláris - 7º ano
Unidade 2 - Capítulo 6
Doenças transmissíveis (p. 143 a 153)
Nossas defesas;
Doenças causadas por vírus.",
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Nuevo Reporteros Brasil 2 – Unidad 1 – Lecciones 1 y 2.

Verbos: hay y estar
Cuantificadores
Comparación
Localización
Léxico: tiendas y servicios, lugares públicos, adjetivos para describir un lugar, medios de transporte.","Describir la ciudad y el barrio 
(5-1.3 Dar información / 5-1.6. Describir/ 9-20.3.1. Ciudad)
Utilizar las expresiones de localización para describir la ciudad 
(8-3.1. Localización / 8-3.3. Posición relativa / 8-3.2. Posición absoluta)
Utilizar los cuantificadores “muy”, “mucho”, “poco” al describir la ciudad y el barrio 
(2-6.1. Cuantificadores propios)
Elaborar frases con los verbos “hay” y “estar” al hablar de la ciudad
(8-3.2. Posición absoluta / 2-9.1.1. Presente de indicativo)
Reconocer el léxico sobre tiendas, lugares públicos y medios de transporte
(2-1.1.2. Nombres comunes)
Comparar la ciudad y el pueblo
(12-2.1.2. Comparación, clasificación, deducción)
Emplear estructuras de superioridad, inferioridad e igualdad
(12-2.1.2. Comparación, clasificación, deducción)"
Não especificado,Geral/Múltiplas,1º Bimestre,"Nuevo Reporteros Brasil 2 – Unidad 1 – Lecciones 1, 2 y 3.

Verbos: hay y estar
Cuantificadores
Comparación
Localización
Obligación, prohibición, permiso
Léxico: tiendas y servicios, lugares públicos, adjetivos para describir un lugar, medios de transporte, normas de convivencia.","Comparar la ciudad y el pueblo
(12-2.1.2. Comparación, clasificación, deducción / 9-17.1.1. Vida en comunidad)
Emplear estructuras de superioridad, inferioridad e igualdad
(12-2.1.2. Comparación, clasificación, deducción)
Utilizar los cuantificadores “muy”, “mucho”, “poco” al describir la ciudad y el pueblo
(2-6.1. Cuantificadores propios)
Elaborar frases con los verbos “hay” y “estar” al hablar de la ciudad y del pueblo
(8-3.2. Posición absoluta / 2-9.1.1. Presente de indicativo)
Expresar las normas de convivencia en la ciudad y en el pueblo
(5-4.11. Prohibir / 5-4.9. Dar permiso / 9-4.2. Relaciones sociales / 9-17.1.1. Vida en comunidad)
Elaborar reglas con prohibiciones y permisos
(5-4.11. Prohibir / 5-4.9. Dar permiso / 2-9.1.1. Presente de indicativo)
Identificar y utilizar el léxico de normas de convivencia
(9-17.1. Vida en comunidad / 9-4.2. Relaciones sociales)"
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Nuevo Reporteros Brasil 2 – Unidad 2 – Lecciones 1 y 2

El estado de ánimo y el carácter
Los verbos ser, estar y ponerse
Los cuantificadores: un poco, mucho, demasiado...
Los sistemas educativos 
Los espacios de la escuela (el aula, el comedor, la biblioteca...) y la organización (el recreo, los deberes, las vacaciones...)
La igualdad y la coincidencia","Describir el estado de ánimo y el carácter
(5-1.6. Describir / 7-3.1. Macrofunción descriptiva: personas / 9-2.1. Carácter y personalidad / 9-2.2. Sentimientos y estados de ánimo)
Reconocer el léxico sobre el carácter y el estado de ánimo
(9-2.1. Carácter y personalidad / 9-2.2. Sentimientos y estados de ánimo)
Emplear los cuantificadores al hablar del carácter y del estado de ánimo
(2-6.1. Cuantificadores propios)
Utilizar los verbos “ser, estar y ponerse” al describir el carácter y los estados de ánimo
(2-9.1.1. Presente de indicativo / 9-2.1. Carácter y personalidad / 9-2.2. Sentimientos y estados de ánimo)
Comentar sobre la escuela y los sistemas educativos
(5-2.2. Dar una opinión / 5-2.4. Valorar / 5-1.6. Describir / 9-6. Educación / 9-6.3. Sistema educativo)
Utilizar el léxico sobre los espacios de la escuela y la organización
(9-6.1. Centros e instituciones educativas)
Diferenciar los sistemas educativos de los países 
( 5-2.9. Expresar acuerdo / 5-2.10. Expresar desacuerdo / 12-1.1.2. Percepción de diferencias culturales / 9-6.3. Sistema educativo)
Emplear estructuras de igualdad y coincidencia al comentar sobre la escuela y los sistemas educativos
(12-2.1.2. Comparación, clasificación, deducción)"
Não especificado,Geral/Múltiplas,2º Bimestre,"Nuevo Reporteros Brasil 2 - Unidad 2 – Lecciones 2 y 3

Los espacios de la escuela (el aula, el comedor, la biblioteca...) y la organización (el recreo, los deberes, las vacaciones...)
Actividades en la ciudad y planes de fin de semana.
Proponer y rechazar planes
El futuro con ir a + infinitivo
Los verbos ir y venir","Proponer actividades y planes de fin de semana
(5-4.13. Proponer y sugerir / 5-4.14. Ofrecer e invitar / 9-8.1. Tiempo libre y entretenimiento)
Utilizar el léxico sobre los espacios de la escuela y la organización
(9-6.1. Centros e instituciones educativas)
Elaborar frases con el léxico de actividades y planes de fin de semana
(9-8.1. Tiempo libre y entretenimiento)
Aceptar y rechazar planes
(5-4.16. Aceptar una propuesta, ofrecimiento o invitación / 5-4.17. Rechazar una propuesta, ofrecimiento o invitación)
Emplear los verbos ""ir y venir"" al hablar de planes y actividades
(2-9.1.1. Presente de indicativo / 9-8.1. Tiempo libre y entretenimiento)
Utilizar el futuro perifrástico ""ir a + infinitivo"" para referirse a actividades y planes
(8-4.2.3. Futuro / 5-3.10. Expresar planes e intenciones)"
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,"Nuevo Reporteros Brasil 2 - Unidad 3 – Lecciones 1 y 2

La biografía
Las profesiones artísticas
El pretérito indefinido
Los marcadores temporales y la duración
La vida deportiva
La preposición “a” + complemento directo (CD) de persona","Comprender y producir biografías de artistas y deportistas
(5-1.7.Narrar / 8-2.3. Acontecimientos y protagonistas del pasado y del presente)
Listar los principales acontecimientos de la vida de artistas y deportistas
(8-2.3. Acontecimientos y protagonistas del pasado y del presente)
Emplear el pretérito indefinido para producir biografías y referirse a acontecimientos pasados
(2-9.1.3. Pretérito indefinido)
Utilizar los marcadores temporales y expresar la duración de acontecimientos pasados
(8-4.3.1. Duración, transcurso)
Emplear la preposición ""a"" con complementos directos de persona
(2-12.2.2. Objeto directo)"
Não especificado,Geral/Múltiplas,3º Bimestre,"Nuevo Reporteros Brasil 2 - Unidad 3 – Lecciones 1, 2 y 3

La biografía
Talentos y personalidad
El pretérito indefinido
Los marcadores temporales y la duración
Los ordinales","Elaborar biografías de diferentes personalidades
(5-1.7.Narrar / 8-2.3. Acontecimientos y protagonistas del pasado y del presente)
Emplear el pretérito indefinido para producir biografías y referirse a acontecimientos pasados
(2-9.1.3. Pretérito indefinido)
Reconocer el léxico relacionado a los talentos y personalidades
(2-1.1.2. Nombres comunes)
Utilizar los marcadores temporales y expresar la duración de acontecimientos pasados
(8-4.3.1. Duración, transcurso)
Emplear los ordinales
(4-1.7.4. Expresión de cifras y números)"
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Nuevo Reporteros Brasil 2 - Unidad 4 – Lecciones 1 y 2

La vida de antes y de ahora
Describir personas
El pretérito imperfecto
Marcadores temporales: antes, ahora...
La escuela
Juegos de antes y de ahora","Comparar la vida de antes y ahora
(5-1.6. Describir / 12-1.1.2 Percepción de diferencias culturales) 
Describir personas
(5-1.6. Describir / 7-3.1. Macrofunción descriptiva: personas / 9-1.2. Características físicas) 
Utilizar el vocabulario relacionado a la descripción física
(9-1.2. Características físicas)
Emplear el pretérito imperfecto para describir el pasado
(2-9.1.2. Pretérito imperfecto)
Escribir frases con los marcadores temporales del pretérito imperfecto
(8-4.3.11. Duración, transcurso)
Diferenciar las costumbres de las escuelas antes y ahora
(9-6.3. Sistema educativo / 11-1.5. Educación y cultura / 12-1.1.2 Percepción de diferencias culturales)
Explicar los juegos tradicionales
(9-8.4. Juegos)"
Não especificado,Geral/Múltiplas,4º Bimestre,"Nuevo Reporteros Brasil 2 - Unidad 4 – Lecciones 1, 2 y 3

El pretérito imperfecto
Los posesivos tónicos
Todavía y ya no
Los cambios en los medios de comunicación
Las nuevas tecnologías
Estar + gerundio","Explicar los cambios en los medios de comunicación
( 8-4.3.13. Cambio / 8-4.3.14. Permanencia/ 9-9. Información y medios de comunicación)
Emplear el pretérito imperfecto para describir el pasado
(2-9.1.2. Pretérito imperfecto / 5-1.6. Describir)
Utilizar los pronombres posesivos tónicos
(2-5. Los posesivos / 2-7.1.6. Pronombres tónicos complementos preposicionales )
Comparar los medios de comunicación utilizando ""todavía"" y ""ya no""
( 8-4.3.13. Cambio / 8-4.3.14. Permanencia/ 9-9.Información y medios de comunicación)
Escribir frases con el léxico de nuevas tecnologías
(9-16.4. Informática y nuevas tecnologías / 9-9.1. Información y comunicación)
Describir acciones en curso con estar + gerundio
(2-9.4.2. Gerundio / 5-1.6. Describir)"
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Introdução
Capítulo 1","Identificar os conceitos de território, nação e país. 
Diferenciar as dimensões econômicas, culturais e jurídicas do território. 
Relacionar os conceitos de espaço geográfico e a formação da nação. 
Diferenciar Estado e estado.
Diferenciar povo, sociedade e governo."
Não especificado,Geral/Múltiplas,1º Bimestre,Capítulo 2,"Elencar os principais indicadores sociais para estudos econômicos.
Analisar gráficos e tabelas de indicadores de renda.
Definir o conceito de economia 
Relacionar a economia com o Índice de desenvolvimento humano. 
Caracterizar o IDH a partir de indicadores sociais, 
Refletir sobre o desenvolvimento humano em diferentes estados a partir do IDH.
Propor ações para o desenvolvimento da cidadania plena no país."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,Capítulo 3,"Definir os conceitos demográficos. 
Analisar o desenvolvimento da transição demográfica brasileira.  
Ler gráficos e tabelas sobre o crescimento demográfico brasileiro. 
Comparar taxas do crescimento vegetativo em diferentes épocas. 
Identificar as causas e consequências do crescimento demográfico brasileiro. 
Analisar a distribuição da população brasileira por sexo, idade e renda. 
Interpretar a pirâmide etária brasileira. 
Identificar a formação cultural do povo brasileiro."
Não especificado,Geral/Múltiplas,2º Bimestre,Capítulo 4,"Diferenciar as fases da atividade industrial. 
Classificar os tipos de indústria moderna
Relacionar a produção industrial a disponibilidade energética. 
Identificar os fatores que propiciaram a industrialização do Brasil. 
Diferenciar concentração e desconcentração industrial."
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,Capítulo 6,"Caracterizar o novo rural brasileiro. 
Diferenciar agronegócio e agricultura familiar. 
Avaliar os impactos da ocupação da terra pela agropecuária. 
Identificar os principais produtos agropecuários produzidos no Brasil.
Interpretar documentos cartográficos sobre a produção agrícola brasileira. 
Avaliar a importância da segurança alimentar no Brasil."
Não especificado,Geral/Múltiplas,3º Bimestre,Capítulo 5,"Identificar as causas da urbanização. 
Caracterizar a rede urbana a partir da hierarquia estabelecida pelas funções de cada cidade.
Identificar as manifestações dos problemas urbanos. 
Relacionar os problemas urbanos com a desigualdade social."
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Capítulo 9
Capítulo 10","Identificar os critérios de regionalização brasileira. 
Comparar diferentes modelos de regionalização ao longo do tempo histórico. 
Diferenciar a partir de documentos cartográficos as sub-regiões da região nordeste. 
Caracterizar o quadro natural da região nordeste brasileira. 
Caracterizar o crescimento socioeconômico da região nordeste. 
Analisar através de documentos cartográficos os movimentos populacionais  da região nordeste. 
Citar problemas regionais advindos do processo histórico do crescimento econômico.
Caracterizar o quadro natural da região nordeste brasileira.
Avaliar os impactos da obra de transposição do Rio São Francisco."
Não especificado,Geral/Múltiplas,4º Bimestre,"Capítulo 11
Capítulo 12","Caracterizar o crescimento socioeconômico da região centro-sul 
Citar problemas regionais advindos do processo histórico do crescimento econômico.
Avaliar a importância econômica da região centro-sul para o crescimento econômico do Brasil. 
Relacionar as atividades econômicas a degradação ambiental na região centro-sul
Reconhecer os impactos socioambientais do desmatamento da Amazônia. 
Diferenciar Amazônia internacional da Amazônia brasileira. 
Avaliar a importância da preservação ambiental para os povos originários."
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"A formação das monarquias centralizadas (capítulo 1)
.","Identificar as crises do século XIV 
comparar as condições de sobrevivência nos Burgos e nos feudos
Relacionar o papel das atividades mercantis ao surgimento da peste bubônica 
identificar fatores da guerra dos cem anos 
analisar Consequências das guerras e das doenças 
Compreender as revoltas camponesas como resultado das crises do século XIV"
Não especificado,Geral/Múltiplas,1º Bimestre,"A formação das monarquias centralizadas (capítulo 1) 
O Estado Absolutista Europeu 
(capítulo 6)","Relacionar o papel das crises do século XIV a formação das monarquias centralizadas 
Identificar a ascensão da burguesia a partir do comércio 
Identificar o papel das burguesias na formação do estado moderno 
Diferenciar o poder descentralizado e poder centralizado 
Caracterizar o poder dos monarcas no antigo regime 
Analisar o absolutismo como resultado do longo processo de centralização do poder 
Relacionar fontes que caracterizem o absolutismo;"
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,O Renascimento cultural (capítulo 4),"Analisar as principais características do Renascimento;
Relacionar as obras aos movimentos econômicos da época;
Identificar as técnicas de pintura;
Diferenciar as classes sociais vigentes;
Analisar os impactos do Renascimento na sociedade atual;
Compreender as mudanças de comportamento;
Analisar o papel da igreja Católica dentro do Renascimento;"
Não especificado,Geral/Múltiplas,2º Bimestre,"O Renascimento cultural (capítulo 4)
A expansão marítima europeia (capítulo 2)","Analisar as principais características do Renascimento;
Relacionar as obras aos movimentos econômicos da época;
Identificar as técnicas de pintura;
Diferenciar as classes sociais vigentes;
Analisar os impactos do Renascimento na sociedade atual;
Compreender as mudanças de comportamento;
Analisar o papel da igreja Católica dentro do Renascimento;
Relacionar as viagens marítimas ao processo renascentista;
Compreender as consequências da expansão marítima
Identificar os impactos das navegações;"
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,Mercantilismo e a colonização da América (capítulo 7),"Compreender os principais conceitos de mercantilismo;
Analisar os impactos do mercantilismo na América;
Relacionar o processo de colonização com os novos modelos econômicos e políticos;
Compreender as principais características da colonização espanhola
Reconhecer as atuações de conquista e administração espanhola na América;"
Não especificado,Geral/Múltiplas,3º Bimestre,"Mercantilismo e a colonização da América (capítulo 7)
A administração da América Portuguesa
(capítulo 8)","Compreender os principais conceitos de mercantilismo;
Analisar os impactos do mercantilismo na América;
Relacionar o processo de colonização com os novos modelos econômicos e políticos;
Compreender as principais características da colonização espanhola
Reconhecer as atuações de conquista e administração espanhola na América;
Identificar a ocupação da América portuguesa;
Analisar o papel dos jesuítas na América;
Compreender a União Ibérica;"
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"A produção açucareira na América Portuguesa e outras atividades
(capítulo 12)","Identificar o processo açucareiro na América Portuguesa;
Compreender o processo dos Engenhos de açúcar;
Analisar a dinâmica colonial;
Reconhecer o papel dos holandeses no Brasil; 
Identificar as estruturas sociais do ciclo do açúcar;"
Não especificado,Geral/Múltiplas,4º Bimestre,"Escravidão, tráfico e práticas de resistência
(capítulo 11)
A produção açucareira na América Portuguesa e outras atividades
(capítulo 12)","Identificar o processo açucareiro na América Portuguesa;
Compreender o processo dos Engenhos de açúcar;
Analisar a dinâmica colonial;
Reconhecer o papel dos holandeses no Brasil; 
Identificar as estruturas sociais do ciclo do açúcar;
Compreender a escravidão Antiga e Moderna;
Analisar o tráfico de escravizados;
Relacionar as relações de trabalho escravo e trabalho livre;
Reconhecer as principais formas de resistência africana no Brasil;
Identificar as marcas que a escravidão deixou no continente africano e na sociedade brasileira atual;"
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Capítulo 1: Números inteiros e sequências 


Páginas 15 a 26","Comparar e ordenar números inteiros.
Associar números a reta numerada.   
Aplicar o conceitos de módulo ou valor absoluto de números inteiros.
Aplicar o conceito de oposto ou simétrico de números inteiros. 
Operar com números inteiros: Adição e Subtração. 
Resolver problemas que envolvam operações com números inteiros.
Resolver problemas envolvendo números inteiros com fatos do cotidiano: fuso horário, contextos históricos, altitude, temperatura e valor monetário.

     EF07MA03, EF07MA04 e EF07MA29"
Não especificado,Geral/Múltiplas,1º Bimestre,"Capítulo 1: Números inteiros e sequências 
Adição e Subtração de números inteiros

Páginas 15 a 33

Capítulo 3: 
Adição e Subtração de Números Racionais
Página 92","Comparar e ordenar números racionais.
Associar números racionais a reta numerada. 
Aplicar os conceitos de módulo ou valor absoluto de números racionais.
Aplicar o conceito de oposto ou simétrico de números racionais. 
Operar com números racionais: Adição e Subtração.
Resolver problemas que envolvam operações com números racionais.

     EF07MA01, EF07MA03, EF07MA04, EF07MA08, EF07MA09, EF07MA10, EF07MA12 e EF07MA29."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Capítulo 1: Números inteiros e sequências 
Adição, Subtração, Multiplicação, Divisão e Potenciação de números inteiros
Expressões numéricas

Páginas 15 a 33

Capítulo 3:
Expressões numéricas (adição e subtração: inteiros, decimais e fracionários)

Página 92.","Comparar e ordenar números racionais.
Associar números racionais a reta numerada. 
Aplicar os conceitos de módulo ou valor absoluto de números racionais.
Aplicar o conceito de oposto ou simétrico de números racionais. 
Operar com números racionais.
Resolver expressões numéricas com números racionais envolvendo as operações adição e subtração.
Resolver problemas que envolvam operações com números racionais.

EF07MA01, EF07MA03, EF07MA04, EF07MA08, EF07MA09, EF07MA10, EF07MA11, EF07MA12 e EF07MA29."
Não especificado,Geral/Múltiplas,2º Bimestre,"Capítulo 1: Números inteiros e sequências 
Adição, Subtração, Multiplicação, Divisão e Potenciação de números inteiros
Expressões numéricas

Páginas 15 a 42

Capítulo 3:
Expressões numéricas e Potenciação (inteiros, decimais e fracionários)

Páginas 92 a 97.","Comparar e ordenar números racionais.
Associar números racionais a reta numerada. 
Operar com números racionais.
Resolver expressões numéricas com números racionais. 
Resolver problemas que envolvam operações com números racionais. 

EF07MA01, EF07MA03, EF07MA04, EF07MA08, EF07MA09, EF07MA10, EF07MA11, EF07MA12 e EF07MA29."
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,"Capítulo 2: Revendo e aprofundando múltiplos, divisores e frações.
(Priorizar frações)

Páginas 52 a 72

Capítulo 5: Geometria
 
Páginas 150 a 160","Decompor um número composto em fatores primos.
Calcular Máximo Divisor Comum (MDC) e mínimo Múltiplo Comum (MMC).
Resolver problemas que envolvam o cálculo de MMC e MDC.
Identificar frações equivalentes.
Operar com frações: Adição e Subtração.
Simplificar frações.
Resolver problemas que envolvam frações e uso de múltiplos e divisores.

     EF07MA01, EF07MA05, EF07MA06, EF07MA08, EF07MA09, EF07MA10, EF07MA11 e EF07MA12,

Identificar, medir, construir e classificar ângulos com régua e transferidor. 

     EF07MA22, EF07MA23 e EF07MA24."
Não especificado,Geral/Múltiplas,3º Bimestre,"Capítulo 4: Expressões algébricas, equações e inequações de 1º grau.
(Priorizar de 104 a 135)

Páginas 104 a 149.

Capítulo 5: Geometria
 
Páginas 164 a 166.
Páginas 182 a 190.","Identificar a regra de formação de uma expressão algébrica a partir da linguagem usual. 
Simplificar expressões algébricas
Determinar valor numérico de uma expressão algébrica
Analisar regularidades em sequências e determinar a sua fórmula. 
Calcular termos de uma sequência numérica
Identificar equações a partir da linguagem usual.
Resolver equações. 

     EF07MA13, EF07MA14, EF07MA15, EF07MA16 e EF07MA18.

Classificar ângulos com transferidor. 
Identificar ângulos congruentes, adjacentes, complementares, suplementares, opostos pelo vértice e formados por retas paralelas cortadas por uma reta transversal. 

     EF07MA23, EF07MA24, EF07MA25, EF07MA26, EF07MA27 e EF07MA28."
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Capítulo 7: Proporcionalidade
Proporcionalidade e razão, porcentagem, Ideia de proporção, Propriedade Fundamental das Proporções, Proporcionalidade entre grandezas.
Páginas 226 a 236

Capítulo 10: Perímetro, Área e Volume.
Perímetro de polígonos, equivalência de perímetros e Comprimento de uma Circunferência.
Páginas 306 a 311","Identificar razões e proporcionalidades.
Representar razões de diferentes formas: fração, porcentagem e decimal.
Ampliar e reduzir figuras a partir de uma escala.
Resolver problemas que envolvam proporcionalidade por meio da Propriedade Fundamental das Proporções ou coeficiente de proporcionalidade. 
Identificar grandezas diretamente proporcionais, inversamente proporcionais e não proporcionais.

     EF07MA02, EF07MA17

Calcular perímetro de figuras planas.
Calcular o comprimento de uma circunferência.
Resolver problemas que envolvem perímetro de figuras planas. 

     EF07MA29, EF07MA32 e EF07MA33."
Não especificado,Geral/Múltiplas,4º Bimestre,"Capítulo 7: Proporcionalidade
Proporcionalidade e razão, porcentagem, Ideia de proporção, Propriedade Fundamental das Proporções, Proporcionalidade entre grandezas, Regra de Três Simples.
Páginas 226 a 243.

Capítulo 10: Perímetro, Área e Volume.
Perímetro de polígonos, Comprimento de circunferência, Área de quadriláteros e triângulos, Áreas que podem ser decompostas em figuras mais simples, Volume de paralelepípedo.
Páginas 306 a 324.","Ampliar e reduzir figuras a partir de uma escala.
Resolver problemas que envolvam proporcionalidade por meio de Propriedade Fundamental das Proporções, Regra de Três Simples ou coeficiente de proporcionalidade. 
Identificar grandezas diretamente proporcionais, inversamente proporcionais e não proporcionais.

     EF07MA02, EF07MA17

Calcular área e perímetro de figuras planas.
Calcular o comprimento de uma circunferência.
Calcular volume de bloco retangular."
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Teláris - Unidade 6 - Determinantes do substantivo
Teláris - Unidade 6 – Conto Maravilhoso","Compreender e usar determinantes do substantivo para produzir enunciados claros, coesos e adequados à intenção comunicativa.
Comparar enunciados com e sem determinantes para perceber como eles alteram o sentido e a precisão da informação.
Analisar as características do conto maravilhoso (presença de elementos mágicos, heróis, forças do bem e do mal, provas e transformação).
Analisar como o enredo, os personagens e os elementos fantásticos contribuem para construir sentidos e transmitir valores culturais.
Interpretar o papel do narrador e os efeitos de sentido produzidos pela linguagem típica do gênero."
Não especificado,Geral/Múltiplas,1º Bimestre,"Teláris - Unidade 6 - Determinantes do substantivo
Teláris Unidade 6 – Conto Maravilhoso","Reconhecer determinantes como artigos, pronomes adjetivos, numerais e locuções determinativas, identificando sua função de especificar e/ou delimitar o substantivo.
Comparar enunciados com e sem determinantes para perceber como eles alteram o sentido e a precisão da informação.
Interpretar as características do conto maravilhoso (presença de elementos mágicos, heróis, forças do bem e do mal, provas e transformação).
Analisar como o enredo, os personagens e os elementos fantásticos contribuem para construir sentidos e transmitir valores culturais.
Interpretar o papel do narrador e os efeitos de sentido produzidos pela linguagem típica do gênero."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Teláris - Unidade 1 - Verbo I (Número e pessoa, tempo, modos verbais)
Teláris - Unidade 2 - Entrevista","Analisar as diversas flexões verbais e comparar suas particularidades a fim de construir uma compreensão mais completa da classe gramatical.
Relacionar as sobreposições das diferentes flexões verbais.
Interpretar a intenção dos interlocutores em uma entrevista.
Generalizar as características do gênero textual da entrevista."
